id,name
14047,Roger Corman Productions
52795,Harris-Kubrick Productions
1988,Epic Productions
34284,C.G.K. Productions
13938,Marilyn Monroe Productions
1322,C.V. Whitney Pictures
1258,Michael Todd Company
217,Ponti-De Laurentiis Cinematografica
14069,Hope Enterprises
14687,Remus
16528,Sumar Productions
4928,Allied Artists Pictures
12275,Motion Picture Associates
14917,Dena Enterprises
60981,Perlberg-Seaton Productions
9,Gaumont
753,Nouvelles Éditions de Films (NEF)
1826,Play Art
8051,Cesáreo González Producciones Cinematográficas
71222,Ibéria Films
2486,Iéna Productions
613,Hecht-Hill-Lancaster Productions
1216,Dino de Laurentiis Cinematografica
2260,Les Films Marceau
11356,Horizon Pictures (II)
10917,Jerry Wald Productions
4299,Newtown Productions
1807,Warwick Film Productions
1829,Zespól Filmowy Kadr
90053,Sabre Film Productions Ltd.
611,Bryna Productions
10212,Orion-Nova Productions
3473,William Goetz Productions
10568,Pennebaker Productions
11735,Robert E. Kent Productions
10795,CEI Incom
29851,Union Cinématographique Lyonnaise (UCIL)
12668,Arthur Freed Production
1679,Lux Film
7933,Compagnie Cinématographique de France
12266,Norlan Productions
40444,Clifton Productions
1314,Hammer Film Productions
5410,Maxim Productions
89188,Magna Theatre Corporation
89189,South Pacific Enterprises
89190,Rodgers & Hammerstein Productions
14056,Artistes Alliance Ltd.
2502,Ceskoslovenský Státní Film
1704,Bavaria Film
14908,Curtleigh Productions
14916,Brynaprod S.A.
12607,Grandon Productions Ltd.
5015,Perlsea Company
100,Avon Production
9266,American International Pictures (AIP)
14838,Madera Productions
14269,Hill-Hecht-Lancaster Productions
82943,Jeffrey Pictures Corp.
219,The Mirisch Corporation
11982,Ashton Productions
10199,Cooga Mooga
10200,Joseph M. Schenck Enterprises
15301,Film Group Feature
15302,Santa Cruz Productions Inc.
4820,Alta Vista Productions
26424,Satyajit Ray Productions
12611,Academy Pictures Corporation
12612,Camp Films
20938,Liberty Pictures
53,Les Films du Carrosse
10897,Sédif Productions
71087,Films de l'Archer
71088,Caroni Films C.A.
77943,Hollywood Pictures Corporation (II)
30931,Gray-Film
10324,William Castle Productions
11241,The Mirisch Company
4402,Euterpe
10481,Jolly Film
12240,Galatea Film
28617,Cinédis
75787,Les Editions Cinégraphiques
512,Cocinor
8894,Société Générale de Cinématographie (S.G.C.)
10000,Compagnia Cinematografica Champion
11493,National Film Finance Corporation (NFFC)
47818,Anglo-Amalgamated Productions
221,Riama Film
641,Titanus
10717,Shamley Productions
799,Carlyle Productions
9303,Shintoho Film Distribution Committee
20931,Alpha Productions
12355,Vulcan Productions Inc.
249,Société Nouvelle de Cinématographie
10906,Les Films Impéria
10907,Les Productions Georges de Beauregard
13437,Champs-Élysées Productions
45228,The Company of Artists
18705,Highroad Productions
109,Rome Paris Films
8930,Euro International Film (EIA)
8488,Ameran Films
10253,Samuel Bronston Productions
11929,Dear Film Produzione
3468,Hal Wallis Productions
17871,Nepi Film
17872,Sofitedip
22820,Rossen Films
4704,Four Crown Productions
516,Seven Arts Productions
32994,Monmouth
32995,Diane Productions
32996,Jason Films
32997,Monica Corp.
8268,Seven Arts
90571,Mirisch Pictures
11355,Jurow-Shepherd
1980,Woodfall Film Productions
5021,Chanford
12172,Newton Productions
12173,NBI Productions
15299,Globe Enterprises
10696,Malabar
9387,Cineriz
46976,RKO General Pictures
1823,Arwin Productions
18138,Playfilm Productions
12335,Rex Carlton Productions
81478,Trete Tvorcheskoe Obedinenie
1284,Hisa-Film
14683,Ciné Tamaris
17873,Les Productions de la Guéville
623,MC Productions
14308,Security Pictures Ltd.
22657,Sédif Productions (as S.E.D.I.F.)
7576,Eon Productions
3266,Otto Preminger Films
4780,Hesperia Films S.A.
31131,Pedro Masó Producciones Cinematográficas
13867,British Lion-Columbia Distributors
517,Allied Artists
518,Transworld Pictures
6116,Argos Films
79180,Agnes Delahaie Productions
3138,Harcourt Productions
19754,"Associates & Aldrich Company, The"
10882,Francinex
1662,Interlagar Films
1663,Naga Films
1664,Zebra Films
14091,Arcola Pictures
41956,Two Arts Ltd.
4894,Associated British-Pathé
14535,Elstree Distributors
14536,Springbok Productions
223,Les Films du Losange
55893,Studios Africa
10265,Peter Rogers Productions
1714,Les Films Concordia
6305,Argyle Enterprises
1167,Phalanx Productions
10761,Danjaq
4539,Leon Fromkess-Sam Firks Productions
4821,Filmgroup Productions
75857,Kohlmar-Sidney Productions
688,Rankin/Bass Productions
8813,Videocraft International
3809,Gibraltar Productions
10697,Laurel Productions
1138,Filmways Pictures
4498,Arco Film
44923,Lux Compagnie Cinématographique de France
4141,Associated Producers (API)
4142,Produzioni La Regina
2325,Orsay Films
1830,Ross Hunter Productions Inc.
955,Nikkatsu
92221,Mirisch Films Limited
64,Les Productions Artistes Associés
7110,Les Films Ariane
88,Hawk Films
2912,Diamond Films
2595,The Associates & Aldrich Company
3212,Teshigahara Productions
13800,Gaumont Distribution
60063,Alexandra Produzioni Cinematografiche
65538,Progéfi
413,Proscenium Films
3462,Walter Shenson Films
11506,Maljack Productions
5755,Constantin Film Produktion
19498,Ocean Films
1080,Beta Film
1147,Madeleine Films
14680,Parc Film
1516,Kindai Eiga Kyokai
5774,Film Duemila
5775,Federiz
18338,The Lankershim Company
5940,Avala Film
10329,Anglo-Amalgamated Film Distributors
2008,BHE Films
5484,Winters Hollywood Entertainment Holdings Corporation
13980,Jack Cummings Productions
602,DEFA
1361,Compton Films
46654,Filmstudio
54659,Athos Films
63558,Chaumiane
11707,Vic Films Productions
18136,Joseph Janni Production
1802,Lowndes Productions Limited
14376,Steven S.A.
1344,Henry G. Saperstein Enterprises Inc.
800,Wheel Productions
6304,Robert Wise Productions
170,Eve Productions Inc.
1754,Tekli British Productions
27756,Park Place Production
1638,Francoriz Production
12778,Rizzoli Film
8409,United Productions of America (UPA)
13718,Planet Film Productions
7508,Produzioni Europee Associati (PEA)
11603,PEC
13370,Eden Productions Inc.
10326,Anglo Enterprises
10327,Vineyard Film Ltd.
7855,B.R.C. Produzione S.r.l.
9232,Tecisa
12009,Elías Querejeta Producciones Cinematográficas S.L.
5448,New Yorker Films
1286,World Wide Productions
3280,Igor Film
10207,Casbah Film
1684,Chenault Productions
571,Highland Films
1575,Lewis Gilbert Productions
19877,Everglades Productions
42498,Arturo González Producciones Cinematográficas S.A.
13984,Jack Hill Productions
5897,Toho
1399,Fair Film
5891,Cecchi Gori Group
599,Solar Productions
1931,Filmové Studio Barrandov
1339,Circle Productions
776,Phalanx-Jaelem
3324,British Broadcasting Corporation (BBC)
650,Bridge Films
60762,Carlo Ponti Production
1482,Famous Artists Productions
11404,Stanley Donen Films
11496,Jalem Productions
13219,"Mirisch Corporation, The"
16316,Motion Pictures International
14093,Herman Cohen Productions
273,Tatira-Hiller Productions
4051,Warner Brothers/Seven Arts
1303,Cadre Films
14159,Seven Arts Pictures
79298,MKH
73,Fida cinematografica
21777,TC Productions
42182,Filmel
30847,Specta Films
2409,Red Lion
386,Paris Films Productions
387,Five Films
11290,Robert et Raymond Hakim
419,Embassy Pictures Corporation
8793,Lawrence Turman
66848,Filmové studio Barrandov
11503,Joseph E. Levine Productions
5850,Belvision
5851,Dargaud Films
1728,Sandrews
1763,Europa Film
10520,Verona Produzione
8503,Crasto
494,AVCO Embassy Pictures
18135,Haworth Productions
10618,Filmstudio Bucuresti
638,Laurel Group
3139,Off Color Films
14121,Image Ten
14122,Market Square Productions
3067,Memorial Enterprises
2380,Palomar Pictures
1497,Marianne Productions
634,ABC Pictures
88161,Cinerama Releasing Corporation
1296,Crossbow Productions
1398,Les Films Corona
1820,Corona Cinematografica
4827,Panda Societa per L'Industria Cinematografica
3685,Toei Doga
13945,Rastar Productions
4541,Raybert Productions
218,Rafran Cinematografica
11386,Finanzia San Marco
12943,APJAC Productions
3797,Apple Corps
16915,King Features Production
13721,Winkast Film Productions
14390,Jerry Gershwin Productions
14391,Elliott Kastner Productions
72,Valoria Films
3065,American Broadcasting Company (ABC)
34403,Produzioni Associate Delphos
6312,Nautilus Productions
14595,Pando Company Inc.
401,Brandywine Productions Ltd.
2418,Cherokee Productions
76358,Three Pictures
171,Malpaso Productions
12049,Alan Jay Lerner Productions
1323,Florin Productions
1324,Jerome Hellman Productions
27016,Kestrel Films Ltd.
8912,Oakhurst Productions
29406,Roxanne Company
29363,Palomar Pictures (I)
381,Campanile Productions
382,Newman-Foreman Productions
11865,Twentieth Century-Fox Productions
3276,Elkins Entertainment
62958,Yonki-no-Kai Productions
428,Talía Films
8016,Época Films S.A.
11398,Selenia Cinematografica
14794,Südwestfunk (SWF)
18477,Les Films de la Boétie
10812,Sanen Productions
1627,Maran Film
74197,Kettledrum Productions
15152,Geoffrey Productions
1354,Fénix Cooperativa Cinematográfica
1795,Corona Filmproduktion
12719,Filmar Compagnia Cinematografica
12732,Towers of London
14220,Russ-Arts
819,Mars Films
31347,Genesis Productions Ltd.
1735,Documento Films
1110,Euro International Films
1500,"Copercines, Cooperativa Cinematográfica"
1805,Francos Films
11909,FGL Productions
12109,Films EGE
12110,Hemdale Group
12111,Vides Cinematografica
13309,Jack Rollins & Charles H. Joffe Productions
70,American Zoetrope
646,D'Antoni Productions
73950,Schine-Moore Productions
5798,Shaw Brothers
11745,Office national du film du Canada (ONF)
73471,Crown-Hausman
4630,Amicus Productions
6174,Gus Productions
2404,Yeah
3434,David L. Wolper Productions
416,Python (Monty) Pictures Limited
8313,Playboy Productions
12978,Kettledrum Films
1048,CCC Filmkunst GmbH
4785,Tele-Cine Film- und Fernsehproduktion
537,Universal TV
8412,Group W
55947,NLT
35298,The Jessica Company
18436,Russo Productions
15266,BBS Productions
10927,Si Litvinoff Film Production
57288,Max L. Raab Productions
12145,Shaft Productions Ltd.
15842,Alfa Cinematografica
3681,Gorky Film Studio
7445,Cinematograph AB
7446,Svenska Filminstitutet (SFI)
1702,Medusa Produzione
23531,Columbia Films
4470,United Producers
22606,Pacific Films
1250,Euro-International Film
1766,Dieter Geissler Filmproduktion
2399,Reggane Films
2400,Unidis
1742,Les Films 13
12282,Elmer Enterprises
8459,Gerard Damiano Film Productions (GDFP)
38374,Cinépix Film Properties (CFP)
60077,Dermet
843,Werner Herzog Filmproduktion
9292,Hessischer Rundfunk (HR)
10281,Kent Productions
26133,Armor Films Inc.
38215,Cannon Productions
42186,Zora Investments Associates
42187,Jeffrey Konvitz Productions
1556,20th Century Fox Television
77882,Creative Unit of Writers & Cinema Workers
77883,Unit Four
20227,Power Productions
70472,Toho Eizo Co.
10869,Filmverlag der Autoren
11626,Tango Film
17610,Lobster Enterprises
17611,Sean S. Cunningham Films
17612,The Night Co.
1375,Jupiter Generale Cinematografica
1400,Labrador Films
75286,UTI Produzioni Associate
2153,Saticoy Productions
407,Dreamland Productions
63367,Jack Bond Productions
2102,Frankovich Productions
12273,Sanford Productions (III)
10211,Alfran Productions
12944,Four Associates Ltd
1,Lucasfilm
536,The Coppola Company
459,Les Films Pomereu
460,Horse Film
16670,Société Nouvelle de Cinématographie (SNC)
5790,Pittsburgh Films
120,Scorsese Productions
1461,Pressman-Williams
11535,Jill Jakes Production
11536,Badlands Company
499,De Laurentiis Entertainment Group
612,Artists Entertainment Complex
8040,Casey Productions
74061,Eldorado Films
23968,Verenigde Nederlandsche Filmcompagnie (VNF)
3850,Geneni Film Distributors
15292,Quintet Productions
1036,Academy Pictures
14120,The Directors Company
6318,Brut Productions
2437,Producciones Zohar
48184,Hoya Productions
38792,Ancla Century Films
1650,PECF
10460,Produzione Intercontinentale Cinematografica (PIC)
16340,Lee Mendelson Film Productions
16341,Bill Melendez Productions
52263,United Feature Syndicate (UFS)
20458,Elkins Productions International Corporation
20459,Freeward Films
20460,Life Investors International
60832,Corona-General
13954,Rollins-Joffe Productions
6397,Filmes Cinematografica
21116,Paradox Production
3300,Doubleday Productions
3301,Gus
3302,Harbor Productions
14665,Sequoia Productions
10645,Paradise Films
10648,French Ministry of Foreign Affairs
1297,Gruskoff/Venture Films
1298,Jouer Limited
1901,University of Southern California
8441,Jack H. Harris Enterprises
1526,Flaminia Produzioni Cinematografiche
4964,Star Films S.A.
6210,", Flaminia Produzioni Cinematografiche"
454,Faces International Films
14024,Irwin Allen Productions
48543,United Films
5404,Norsk Rikskringkasting (NRK)
12984,Norsk Film
35673,Sveriges Radio
55637,John Boorman Productions
12,New Line Cinema
1197,Vortex
3968,John Woolf Productions
461,Les Films Christian Fechner
21505,Action Films
76482,Les Films 7
4742,Syn-Frank Enterprises
4765,Trinacra Films
10496,Orphée Productions
1122,CAPAC
1137,S.N. Prodis
1546,Universal Pictures France
1547,Uranus Productions
38223,Dreamland
3238,Film Funding Ltd. of Canada
4952,Canadian Film Development Corporation (CFDC)
17468,Vision IV
36555,Famous Players
43459,August Films
6226,Penthouse
10208,Long Road Productions
18742,ABC Entertainment
11272,Peregrine
5186,The Australian Film Commission
8808,McElroy & McElroy
16232,Picnic Productions Pty. Ltd.
74363,British Empire Films Australia
286,Fantasy Films
36638,Fadsin Cinema Associates
1865,Zanuck/Brown Productions
9331,Rob Houwer Productions
463,Michael White Productions
316,Wildwood Enterprises
10308,Dino De Laurentiis Company
10879,Tom Ward Enterprises
10878,Cine Films Inc.
20151,The American Film Theatre
10523,Mondial Televisione Film
17777,Centaur Pictures Inc.
17953,Comedian Intl Enterprise Productions (C.I.E.)
14750,Portrait Films
1814,LQ/JAF
1131,Rizzoli Films
3570,Seda Spettacoli
619,Terra-Filmkunst GmbH
6091,Atelier 41
464,National Film Trustee Company
465,Twickenham Film Studios
3952,Hemdale Film
3978,Robert Stigwood Organization (RSO)
10647,Unité Trois
42044,Ministère de la Culture Française de Belgique
11114,Braun Entertainment Group
42183,Carnelian Productions
59645,ICL
4988,Frank Yablans Presentations
12283,Miller-Milkis Productions
632,British Lion Films
46059,Italo/Judeo Productions
46060,Bill/Phillips
2070,Rastar Pictures
39628,Cheerful Productions
888,Overseas FilmGroup
3403,The CKK Corporation
4597,Goodtimes Enterprises
11372,Bugsy Malone Productions
11373,National Film Finance Consortium
2767,Mace Neufeld Productions
15298,Malpaso Company
3645,Barwood Films
13139,Oshima Productions
14668,Shibata Organisation
7963,Les Productions René Goscinny
7964,Studios Idéfix
31587,Megalovision
31588,Cinegate
31589,Disctac
33155,Classic
76826,Fetter Productions
362,Film Holland
363,Excelsior Films
11874,Sascha-Film
61546,S&T-Film Berlin
14180,Laurel Entertainment Inc.
12226,American Film Institute (AFI)
17877,Libra Films
8263,EMI Films
11458,Julia Phillips and Michael Phillips Productions
