id,name,gender
30009,Bert Kalmar,0
12924,Harry Ruby,0
30010,Arthur Sheekman,0
78053,Edwin L. Marin,2
117852,Gordon Kahn,0
1023464,Barry Barringer,0
29755,Erle C. Kenton,0
29756,Waldemar Young,2
29757,Philip Wylie,2
103444,Howard J. Green,2
128782,Brown Holmes,0
119462,Sheridan Gibney,0
11528,Jean Renoir,2
95501,Yasujirō Ozu,0
20370,Irving Pichel,2
3239,Ernest B. Schoedsack,2
3240,James Ashmore Creelman,2
90064,Victor Halperin,0
1018951,Garnett Weston,0
108498,Erwin S. Gelsey,2
29995,James Seymour,2
65854,R.C. Sherriff,2
143463,Dave Fleischer,2
4109,Michael Curtiz,0
131602,Gene Markey,0
105452,Kathryn Scola,0
124549,Donald Henderson Clarke,0
97774,Alfred E. Green,0
2490,Alexander Korda,2
10601,Joseph L. Mankiewicz,2
11489,William Cameron Menzies,2
21305,Lloyd Bacon,2
138466,Manuel Seff,0
14674,George Cukor,0
144063,Victor Heerman,2
32133,Charles Brabin,2
590253,Zelda Sears,1
111434,Eve Greene,0
34751,Ray Enright,2
34170,Frank R. Strayer,0
148842,H.M. Harwood,0
239105,Salka Viertel,0
14859,Claudine West,0
3238,Merian C. Cooper,2
3241,Ruth Rose,0
1572604,Catherine II,0
1572605,Manuel Komroff,0
145968,Richard Boleslawski,2
8623,John Meehan,0
1172616,Edith Fitzgerald,0
1065336,Melville W. Brown,0
31497,John Cromwell,2
88873,Jane Murfin,0
1183845,Lula Vollmer,0
89632,William K. Howard,2
84237,Lenore J. Coffee,1
3599,Charles Bennett,2
1174346,D.B. Wyndham-Lewis,0
585135,George Nichols Jr.,0
1206239,Sam Mintz,0
19019,Robert Riskin,2
8500,John Ford,0
13802,Dudley Nichols,2
16042,Claude Binyon,2
131408,Frank Butler,2
30146,Rowland V. Lee,2
559101,Vincent Lawrence,2
1265280,Lester Cohen,0
89779,Dwain Esper,2
236564,Hildegarde Stadie,0
142865,Jean Vigo,2
108625,Clemence Dane,0
29627,Charles Lamont,2
29347,Robert Ellis,2
120464,Helen Logan,0
93906,Robert Z. Leonard,0
32427,W.S. Van Dyke,2
29618,John Lee Mahin,2
26159,Frances Goodrich,1
26160,Albert Hackett,2
72062,Talbot Jennings,2
72063,Carey Wilson,2
72067,Margaret Booth,0
50300,John Farrow,2
82171,John M. Stahl,2
145978,George O'Neil,0
145175,Albert Parker,2
30165,Mark Sandrich,2
30170,Károly Nóti,0
1082918,Allan Scott,0
10790,Sam Wood,2
10792,Morrie Ryskind,0
31967,Rowland Leigh,0
142217,Michael Jacoby,0
67426,William Keighley,2
81019,Richard Macaulay,2
119531,Joe Traub,0
119532,Hugh Cummings,0
119534,Paul Girard Smith,0
81165,Archie Mayo,2
81166,Charles Kenyon,2
76981,Delmer Daves,2
121102,Ralph Staub,2
120259,Philip Ford,0
121105,Cortland Fitzsimmons,0
121106,John Francis Larkin,0
121107,Gertrude Orr,1
121108,Rex Taylor,0
33273,James Hilton,2
1244303,Zoe Akins,0
97202,Kenji Mizoguchi,2
134343,Yoshikata Yoda,0
10001,William Wyler,2
85692,Lillian Hellman,1
18738,George Stevens,2
149075,Howard Lindsay,2
94218,Roy Del Ruth,2
132800,Jack McGowan,0
227511,Sid Silvers,0
89535,Norman Krasna,2
145991,Alice Duer Miller,0
82172,Jo Swerling,0
30208,Sidney Buchman,2
1458657,Gianni Hoepli,0
1275010,Ubaldo Magnaghi,0
149117,William Anthony McGuire,0
588447,Howard Higgin,2
975120,Rollo Lloyd,2
27934,Edwin Greenwood,2
27935,Anthony Armstrong,2
20599,John Van Druten,2
70044,S.N. Behrman,0
1546,John L. Balderston,2
1168853,Edward E. Rose,0
71789,Lajos Biró,0
106967,Thomas Bentley,0
108795,Ernest Pagano,2
125363,Viña Delmar,0
141061,Jack Jevne,2
74660,Eric Hatch,0
150628,Eddie Moran,0
39058,Julien Duvivier,0
5446,David Hand,2
5449,Ted Sears,2
5450,Richard Creedon,0
5451,Otto Englander,0
5452,Dick Rickard,0
5453,Earl Hurd,0
5454,Merrill De Maris,0
5455,Dorothy Ann Blank,0
5456,Webb Smith,2
70980,Robert Pirosh,2
24939,George Seaton,2
70981,George Oppenheimer,2
67447,Anthony Veiller,2
13803,Hagar Wilde,0
37361,Anatole Litvak,2
130933,Milton Krims,2
82800,Norman Taurog,2
22598,Dore Schary,0
34282,Eleanore Griffin,1
67427,Norman Reilly Raine,2
549597,Fannie Hurst,0
2665,Julius J. Epstein,2
38393,Marcel Pagnol,0
14292,Sidney Gilliat,2
14293,Frank Launder,2
82445,John Wexley,2
10148,Warren Duff,2
1225777,Leigh Jason,0
2666,Philip G. Epstein,2
103893,Dan Totheroh,0
14676,Donald Ogden Stewart,2
6593,John Huston,2
20371,Robert Buckner,2
84642,Abem Finkel,0
1172557,Clements Ripley,0
1221528,Louis F. Edelman,0
8617,Charles Brackett,2
3146,Billy Wilder,0
89226,William Nigh,0
235355,Houston Branch,0
19093,George Marshall,2
148850,Gertrude Purcell,1
223371,Henry Myers,2
105570,Felix Jackson,2
4509,Casey Robinson,2
14646,Lamar Trotti,2
69513,Joan Harrison,1
77101,Edward Buzzell,2
13981,Irving Brecher,2
129422,Irving Cummings,2
14824,Charles MacArthur,2
9052,Noel Langley,2
9053,Florence Ryerson,1
1505,Edgar Allan Woolf,2
12362,Walter Reisch,2
89669,A. Edward Sutherland,2
131406,Charley Rogers,2
930386,Fred Schiller,0
1022678,Harry Langdon,0
40035,F. Scott Fitzgerald,2
11488,Sidney Howard,0
51307,Æneas MacKenzie,0
113702,Wolfgang Reinhardt,0
29994,Rian James,2
81930,Alfred L. Werker,2
9100,Edwin Blum,2
1674568,William Absalom Drake,0
37362,Henry King,2
8501,Nunnally Johnson,2
89924,William Clemens,2
103674,Kenneth Gamet,2
144592,Eugene Solow,0
30127,Scott Darling,0
71787,Ludwig Berger,2
68424,Michael Powell,2
65852,Zoltan Korda,2
47395,Miles Malleson,0
141065,Alfred J. Goulding,0
140877,Felix Adler,0
127515,Jack Hively,0
120546,Jerome Cady,2
94762,Michael Kanin,2
3386,Robert E. Sherwood,2
30285,Sam Hellman,2
1059261,Norman Lee,0
14855,Frank Borzage,2
148562,Lawrence Hazard,2
93631,Lesser Samuels,0
1167856,Rachel Field,0
117630,Richard Carroll,0
5028,Curt Siodmak,2
14857,George Froeschel,2
14858,Hans Rameau,0
11429,Hamilton Luske,2
11426,Ben Sharpsteen,2
253716,Thorold Dickinson,2
1094874,A.R. Rawlinson,2
70296,Bridget Boland,0
1084818,William West,0
3428,Howard W. Koch,2
4508,Howard Koch,2
5691,Samuel Armstrong,2
5690,James Algar,2
11427,William Roberts,2
11428,Paul Satterfield,2
11430,Jim Handley,0
11431,Ford Beebe,2
11432,T. Hee,0
226599,Norman Ferguson,2
11434,Wilfred Jackson,2
4358,Charles Lederer,2
89860,Aldous Huxley,0
32107,Frank Davis,2
592459,Tess Slesinger,0
32134,Charles Vidor,2
1044005,Reginald Denham,0
103931,Phil Rosen,2
96696,George Bricker,2
80728,W.R. Burnett,0
30249,Preston Sturges,2
74878,Tay Garnett,2
1283611,Adelaide Heilbron,0
37846,Emeric Pressburger,2
78845,Arthur Lubin,2
95945,Arthur T. Horman,0
30101,Robert Lees,0
30102,Frederic I. Rinaldo,0
29632,John Grant,0
30129,George Waggner,2
5165,Dashiell Hammett,0
40,Orson Welles,2
30012,Herman J. Mankiewicz,2
1040011,Roger Q. Denny,0
11783,John Houseman,0
1117970,Mollie Kent,0
232198,Geza Herczeg,0
14971,James M. Cain,2
2901,Karl Vollmöller,0
10146,Jacques Tourneur,0
48804,DeWitt Bodeen,2
89692,Wallace Fox,2
230590,Harvey Gates,2
115849,Arthur Wimperis,2
124850,Henry Blankfort,0
45621,Ladislas Fodor,2
1459440,László Görög,0
5787,Ferenc Molnár,0
144071,László Vadnay,0
89228,Robert Kehoe,0
93904,Irving Rapper,2
150003,Graham Heid,0
160942,Norman Wright,0
38240,Peter Viertel,2
30520,Dorothy Parker,1
8502,Darryl F. Zanuck,2
116326,Philip Dunne,2
130919,Edison Marshall,0
25165,Roy William Neill,2
30409,Edward T. Lowe Jr.,2
9791,"Ring Lardner, Jr.",2
95293,Busby Berkeley,2
1192600,Richard Sherman,0
13982,Fred F. Finklehoffe,0
1011851,Robert Russell,2
145870,Frank Ross,0
34171,Richard Flournoy,2
30207,Lewis R. Foster,2
5834,Robert Stevenson,2
100984,Ardel Wray,1
253066,Edward H. Griffith,2
20097,Frank Fenton,0
133337,Lynn Root,0
89084,John Howard Lawson,2
19528,Vincent Sherman,2
7661,Thornton Wilder,0
7662,Sally Benson,1
5026,Akira Kurosawa,2
37126,Jean-Paul Le Chanois,2
70862,Richard Thorpe,2
2748,Paul Osborn,2
84641,Lewis Seiler,2
64114,Edward Dmytryk,0
11993,Dalton Trumbo,2
2559,Henri-Georges Clouzot,2
102862,Louis Chavance,0
552028,Herman Shumlin,2
936343,Humphrey Jennings,0
86004,Joseph H. Lewis,0
140183,Irwin Franklyn,0
127547,Pierre Gendron,0
13971,William Faulkner,2
126653,Whitman Chambers,0
834,Otto Preminger,2
87393,Jay Dratler,2
1160002,Elizabeth Reinhardt,1
93322,Theodore Reeves,0
13980,Vincente Minnelli,2
34369,Virginia Van Upp,1
64864,Clyde Geronimi,2
74565,Jack Kinney,2
103344,Harold Young,2
48566,Alf Sjöberg,0
6648,Ingmar Bergman,2
3248,David O. Selznick,2
12493,Raymond Chandler,2
34371,Marion Parsonnet,1
74697,Alberto Cavalcanti,2
8929,Charles Crichton,2
29504,Basil Dearden,2
70864,Robert Hamer,2
317313,John Baines,0
88880,Angus MacPhail,2
223265,Mary C. McCall Jr.,0
87374,George Bruce,2
5030,Edgar G. Ulmer,0
86000,Martin Goldsmith,0
120729,George Callahan,0
142297,Compton Bennett,2
37447,Muriel Box,1
38061,Sydney Box,0
21506,George Sidney,2
135844,Isobel Lennart,0
25168,Bertram Millhauser,0
81285,Stuart Heisler,2
31843,Ranald MacDougall,2
78158,Lester Cole,2
4410,Roberto Rossellini,2
4413,Sergio Amidei,0
4415,Federico Fellini,2
12238,David Lean,2
12718,Noël Coward,2
12719,Anthony Havelock-Allan,2
7501,Ronald Neame,2
30171,Dwight Taylor,0
19457,Mark Robson,2
37360,Henry Hathaway,0
87394,Bernard C. Schoenfeld,2
275022,Harve Foster,0
571175,Dalton S. Reymond,0
121049,Morton Grant,2
938322,Maurice Rapf,0
109852,Herb Meadow,0
109853,Hunt Stromberg,2
107778,Harry Chandlee,0
9730,Jean Cocteau,2
115553,John Collier,2
115554,Joseph Than,2
33062,Curtis Bernhardt,0
94327,Keith Winter,0
117023,Leonard Lee,0
30286,Samuel G. Engel,2
30287,Winston Miller,2
4298,Leigh Brackett,1
33064,Henry Koster,2
31963,Arthur Ripley,2
85453,Philip Yordan,2
88974,Frank Gruber,2
33029,Harry Ruskin,0
120312,Niven Busch,2
105568,Edmund Beloin,0
330921,Nathaniel Curtis,2
149073,Harry Crane,0
93689,James O'Hanlon,2
144734,Edgar Neville,0
591941,Mary Loos,0
95262,Richard Sale,2
29633,Lee Loeb,2
30548,Alan Le May,2
10147,Daniel Mainwaring,2
50765,Chester Erskine,2
14353,Max Ophüls,0
131230,James Bridie,2
15378,Carol Reed,2
131454,F.L. Green,0
69392,Charles Walters,0
197796,Betty Comden,0
13286,Adolph Green,2
132577,John Paxton,2
63977,Hans Christian Andersen,0
94880,Irving Reis,2
69393,John Patrick,2
4065,Fred Zinnemann,0
109726,Robert L. Richards,2
17665,Arthur Laurents,0
136923,William R. Laidlaw,0
94297,William Wister Haines,0
94169,John Berry,2
144426,Leslie Bush-Fekete,0
196437,Arnold Manoff,0
12329,Vittorio De Sica,2
12330,Cesare Zavattini,0
41637,Oreste Biancoli,0
24658,Suso Cecchi d'Amico,1
1009150,Adolfo Franci,0
1125155,Gerardo Guerrieri,0
1662025,Gherardo Gherardi,0
3359,Laurence Olivier,2
117773,S. Sylvan Simon,2
47399,Frank Tashlin,2
66111,Devery Freeman,0
30723,Sidney Sheldon,2
30293,Arthur Rosson,2
30294,Borden Chase,2
30295,Charles Schnee,2
83399,H. C. Potter,0
50577,Norman Panama,2
50567,Melvin Frank,2
81186,Andrew Solt,2
606084,Max Fleischer,2
86660,Jean Anouilh,0
108807,Guy Morgan,0
38227,Frank Partos,0
567200,Millen Brand,0
126907,James P. McGuire,0
84235,Leonard Spigelgass,0
109405,Ayn Rand,1
13284,Stanley Donen,2
13294,Gene Kelly,2
2746,Elia Kazan,2
11995,John Dighton,2
1148294,Nancy Mitford,0
64866,Erdman Penner,2
1744,Robert Wise,2
97471,Art Cohn,0
999830,Joseph Moncure March,0
16523,Burgess Meredith,2
4357,Harry Brown,2
4970,Ruth Gordon,1
100131,Garson Kanin,2
131010,Kôgo Noda,0
1159912,Ruth Goetz,0
237378,Augustus Goetz,0
15379,Graham Greene,2
34373,Ryûzô Kikushima,0
148559,Herbert Wilcox,2
1168785,Warren Chetham-Strode,0
343201,Sy Gomberg,0
19094,George Wells,2
12492,Whitfield Cook,0
7449,Shinobu Hashimoto,2
159503,Albert Mannheimer,2
2765,Nicholas Ray,0
70495,Oscar Brodney,2
70496,Myles Connolly,2
8618,D.M. Marshman Jr.,0
11593,Rudolph Maté,2
58861,Russell Rouse,2
58862,Clarence Greene,2
