id,name
FR,
US,
GB,
AU,
DE,
SE,
DK,
CA,
RU,
UA,
IN,
JP,
IT,
ES,
PL,
CZ,
VE,
AT,
JM,
IR,
BS,
SN,
DZ,
BE,
RO,
MX,
LI,
GR,
PE,
PH,
NL,
HK,
NO,
IE,
CL,
RS,
CH,
PT,
ML,
PR,
NZ,
IS,
KR,
AR,
BA,
BR,
CN,
GE,
FI,
TW,
ZA,
HU,
MT,
TR,
LU,
EE,
MY,
TH,
PK,
IL,
SG,
EC,
CO,
CR,
KZ,
BG,
MN,
CM,
PS,
MA,
DM,
SK,
HR,
LB,
SI,
LT,
EG,
CD,
AE,
AO,
AL,
CS,
CU,
QA,
TN,
ID,
BO,
UG,
PF,
AN,
PA,
VN,
ME,
CY,
JO,
SA,
GT,
MQ,
UY,
KH,
